LAB ID,sample Name,Location,Longitude,Latitude,Sampling Date,Extracted?,Kit Extraction,Extraction date,Qbit ID,qbit 1,qbit 2,qbit FINAL ng/uL,DNA Clean,DNA Clean Date,Qbit ID,qbit 1,qbit 2,qbit FINAL ng/uL
BVI-1-DM,BVI-1-DM,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/15/23,1,14.1,14,14.05,y,10/17/23,1,0.22,,0.11
BVI-2-DM,BVI-2-DM,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/15/23,2,20.6,20.4,20.5,y,10/17/23,2,0.246,,0.123
BVI-3-DM,BVI-3-DM,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/15/23,3,8.72,8.7,8.71,y,10/17/23,3,0.176,,0.088
BVI-1-DS,BVI-1-DS,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/15/23,4,17.7,17.7,17.7,y,10/17/23,7,0.402,,0.201
BVI-2-DS,BVI-2-DS,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/15/23,5,11.8,11.7,11.75,y,10/17/23,8,0.372,,0.186
BVI-3-DS,BVI-3-DS,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/15/23,6,15.7,15.7,15.7,y,10/17/23,9,0.294,,0.147
BVI-1-B,Blank,Blank,,,,y,Omega EZNA Mollusc DNA,10/15/23,7,too low,too low,#VALUE!,y,10/17/23,1B,low,,#VALUE!
BVI-4-DM,BVI-4-DM,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/17/23,1,3.5,3.48,3.49,y,10/17/23,4,low,,#VALUE!
BVI-5-DM,BVI-5-DM,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/17/23,2,5.18,5.18,5.18,y,10/17/23,5,0.274,,0.137
BVI-6-DM,BVI-6-DM,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/17/23,3,2.98,2.98,2.98,y,10/17/23,6,low,,#VALUE!
BVI-4-DS,BVI-4-DS,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/17/23,4,8.1,8,8.05,y,10/17/23,10,0.178,,0.089
BVI-5-DS,BVI-5-DS,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/17/23,5,8,7.8,7.9,y,10/17/23,11,0.206,,0.103
BVI-6-DS,BVI-6-DS,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/17/23,6,8.32,8.36,8.34,y,10/17/23,12,0.322,,0.161
BVI2-B,BVI2-B,Blank,,,,y,Omega EZNA Mollusc DNA,10/17/23,7,low,low,#VALUE!,y,10/17/23,2B,low,,#VALUE!
BVI-7-DM,BVI-7-DM,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/19/23,1,15.5,15.5,15.5,y,10/19/23,8,14.1,14,14.05
BVI-8-DM,BVI-8-DM,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/19/23,2,13.5,13.4,13.45,y,10/19/23,9,10.7,10.8,10.75
BVI-9-DM,BVI-9-DM,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/19/23,3,4.96,4.98,4.97,y,10/19/23,10,2.78,2.8,2.79
BVI-7-DS,BVI-7-DS,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/19/23,4,7.04,7,7.02,y,10/19/23,11,low,low,#VALUE!
BVI-8-DS,BVI-8-DS,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/19/23,5,6.98,6.92,6.95,y,10/19/23,12,5.82,5.84,5.83
BVI-9-DS,BVI-9-DS,British Virgin Islands,,,,y,Omega EZNA Mollusc DNA,10/19/23,6,7.78,7.84,7.81,y,10/19/23,13,9.44,9.42,9.43
BVI3-B,BVI3-B,Blank,,,,y,Omega EZNA Mollusc DNA,10/19/23,7,low,low,#VALUE!,y,10/19/23,14,low,low,#VALUE!
